No.,NRRL # or orig ident,Location,Region,GPS,Host/Substrate,Fungicide,Date Collected,Notes,Mating Type,Date of ITS confirmation,Date of DNA Extraction,Sterile Water Tube Date,Glycerol Tubes Date,Race Tubes Date
SM114,5062,Vann Bros plot,NorCal,,Almond Hull Rot,,8/2014,,plus,,,,,
SM115,5066,Vann Bros plot,NorCal,,Almond Hull Rot,,8/2014,,,,,,,
SM116,5389,"Oroville,CA",NorCal,,Almond Hull Rot,,8/2015,,,,,,,
SM117,5390,"Oroville,CA",NorCal,,Almond Hull Rot,,8/2015,,plus,,,,,
SM118,5395,"Oroville,CA",NorCal,,Almond Hull Rot,,8/2015,,,,,,,
SM119,5400,"UCR Greenhouse, Riverside, CA",SoCal,,Strawberry,,8/2015,,UNKNOWN,,,,,
SM120,5404,"Lime Sulfur Trial, Southern Site",SoCal,,Soil,,8/2015,,,,,,,
SM121,5406,"Lime Sulfur Trial, Northern Site",SoCal,,Soil,,8/2015,,,,,,,
SM122,5409,"Lime Sulfur Trial, Northern Site",SoCal,,Soil,,8/2015,,plus,,,,,
SM123,5411,"Kearny Ag, Fresno,CA",NorCal,,Almond Hull Rot,,8/2015,,UNKNOWN,,,,,
SM124,5415,"Kearny Ag, Fresno,CA",NorCal,,Almond Hull Rot,,8/2015,,,,,,,
SM125,5421,"Kearny Ag, Fresno,CA",NorCal,,Almond Hull Rot,,8/2015,,,,,,,
SM126,5422,"Kearny Ag, Fresno,CA",NorCal,,Almond Hull Rot,,8/2015,,,,,,,
SM127,5505,"Kearny Ag, Fresno,CA",NorCal,,Almond Hull Rot,,8/2015,,,,,,,
SM128,5064,Vann Bros plot,NorCal,,Almond Hull Rot,,8/2015,,,,,,,
SM129,,"UCR Avacado, Riverside, CA",Southerm California,,Avacado,,4/10/2017,,,,,,,
SM130,,"Derreck Strawberry, Riverside, CA",Southerm California,,"Strawberry, Box",,4/11/2017,,UNKNOWN,,,,,
SM131,,"UCR Campus, Riverside, CA",Southerm California,,"Strawberry, plant",,5/28/2017,,,,,,,
SM132,,"Modesto, CA",NorCal,,Almond Hull Rot,,,,,,,,,
SM133,,"Modesto, CA",NorCal,,Almond Hull Rot,,,,,,,,,
SM134,,"Balm, FL",Florida,,Strawberry,,,,,,,,,
SM135,,Riverside ,Southern California,,Strawberry,,,,,,,,,
SM136,Ck2,,NorCal,,Soil,,,,,,,,,
SM137,,,NorCal,,Soil,,,,,,,,,
SM138,,,NorCal,,Soil,,,,,,,,,
SM139,,,NorCal,,Almond Hull,,,,,,,,,
SM140,5048,Bakersfield,NorCal,,Almond Hull,,,,,,,,,
SM141,,Bakersfield,NorCal,,Almond Hull,,,,,,,,,
SM142,5393,,NorCal,,,,,,,,,,,
SM143,,"Riverside, CA",Southern California,,Strawberry,,,,,,,,,
SM144,,"Riverside, CA",Southern California,,Strawberry,,,,,,,,,
SM145,,"Modesto, CA",NorCal,,Almond Hull Rot,,,,,,,,,
SM146,,"Modesto, CA",NorCal,,Almond Hull Rot,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
